Name	MC-289_T1-Amb_1603	MC-289_T1-Amb_1609	MC-289_T1-HiT_2878	MC-289_T1-HiT_2023	MC-289_T3-Amb_1595	MC-289_T3-Amb_2741	MC-289_T3-HiT_2183	MC-289_T3-HiT_2058	MC-289_T5-Amb_1721	MC-289_T5-Amb_2874	MC-289_T5-HiT_1341	MC-289_T5-HiT_2998	MC-289_Field_289-1	MC-289_Field_289-2
Montipora_capitata_PredGene_g583	75.9	100.7	65.7	44.3	94	76.1	45.7	57	69.1	49	49.1	122.5	97.7	166.2
Montipora_capitata_PredGene_g38208	338.2	54.3	69	101.7	71.3	69.7	64.4	117.5	65.9	85.4	74.9	79.5	103	502.9
Montipora_capitata_PredGene_g69404	26.1	21.8	13.6	16	20.9	17	14.4	13.4	19.5	28	20	19.8	10.8	20.5
Montipora_capitata_PredGene_g55625	174.2	173.3	102.9	112.7	170.1	152.2	115.1	100.6	154.8	198.3	144.4	109.4	149	159.9
Montipora_capitata_PredGene_g58302	1472.6	1638.4	1171.1	793.6	1490	1508.8	1077.9	1000.2	1425.3	1066.9	816.3	1979.9	1633.1	1740.8
Montipora_capitata_PredGene_g70995	44.9	14.1	8.3	29.3	7.8	19.9	10.2	8.7	55.4	17.6	11.7	6.1	8.9	20.2
Montipora_capitata_PredGene_adi2mcaRNA41178_R0	99.3	107.3	49.1	83.6	89.9	82.3	94	97.6	101.6	137.6	109	119.9	89.1	112.8
Montipora_capitata_PredGene_g45458	42.4	59.2	26.6	36.5	26.2	36.3	34.8	34.9	51.3	42.6	50.2	40.1	25.7	44.1
Montipora_capitata_PredGene_g23302	15.6	20.7	13.9	9	13.8	15.1	13.8	12.8	13.6	11.8	7.5	14.9	9	10.6
Montipora_capitata_PredGene_g37244	135	147.3	66.6	116	120.3	128	98.7	85.6	125.9	145.3	129.4	136.3	108.7	125.3
Montipora_capitata_PredGene_g55985	55.1	41.4	24.6	36.1	37.2	39.7	33.1	21.7	58.7	46.4	40.7	43.8	27.6	51.2
Montipora_capitata_PredGene_g62575	84.4	90.6	52.9	56.3	78.3	57.6	62.4	70.2	9.4	122.2	96.2	221.5	77.1	118.2
Montipora_capitata_PredGene_g70381	33	36.1	19.5	23.7	34.3	39.2	17.9	16.4	14.9	17.7	17.2	20.7	17.8	29.9
Montipora_capitata_PredGene_g69373	10.7	25.8	8.2	13.1	18.4	12.5	11.7	10.4	19.9	9	12.2	12.2	9	15.6
Montipora_capitata_PredGene_g55719	68.2	59.1	48.6	32.6	59.2	54.8	36.6	42.4	30.9	54.2	38.8	25	50.2	53.3
Montipora_capitata_PredGene_adi2mcaRNA10800_R1	34	30.7	16.9	24.3	23.5	18.9	31.7	25	27.1	36.7	26.7	17.7	23.6	35.6
Montipora_capitata_PredGene_g1495	37.6	30.6	19.5	23.2	24.7	15.4	13.7	9.5	27.8	41	24.8	23.6	16.7	29.5
Montipora_capitata_PredGene_g14846	85.2	73.3	52	47.3	105.9	96.8	16.8	11.8	76.5	52.7	35.2	111.9	44.7	84.3
Montipora_capitata_PredGene_g53649	22.4	37.9	25.5	13.1	34.3	39.2	21.4	15.8	34.3	23.6	14.5	32.1	42.3	81.5
Montipora_capitata_PredGene_adi2mcaRNA27568_R0	12.1	9.6	5	9.2	7.6	5	6.4	8.5	9.5	7.3	7.5	5.8	6.7	7.6
Montipora_capitata_PredGene_g61636	38.2	42.1	23.8	26.8	33.1	27.4	17.1	21.9	9.8	44	18.9	25.2	32.5	38.2
Montipora_capitata_PredGene_adi2mcaRNA26720_R2	342.2	376.2	260.8	195.9	351.4	351.1	146.8	176.1	424.9	302.3	143.5	272.5	211.3	293
Montipora_capitata_PredGene_g12102	57	31.6	18.7	38.1	59.3	68	33.3	36.6	31.1	26.3	39.7	32.1	70.1	101.6
Montipora_capitata_PredGene_g22404	72.9	101.8	74.4	39.5	100.2	95.1	63.8	66.5	28.4	39.5	58.2	29.6	78.4	76.8
Montipora_capitata_PredGene_g1591	30	33.4	22.2	17.9	26.1	33.5	29.9	20.6	29	32.9	21.1	24.4	27.1	30.4
Montipora_capitata_PredGene_adi2mcaRNA10957_R0	12.5	15	10.6	7	17.2	9.8	9.9	19.8	11.4	11.6	13.3	14.4	14.7	11.4
Montipora_capitata_PredGene_g59713	250	267.5	148.7	179.7	148.6	164	160.9	166.5	187.1	298.6	215.3	185.7	185	234.3
Montipora_capitata_PredGene_g62581	81	100.5	61.3	53.1	58	60.8	62.9	62.8	85.9	92	103.5	83.4	75.6	78.4
Montipora_capitata_PredGene_g52462	225.2	282.3	165.3	153.7	235.6	234	134.3	128.6	209.8	282.8	170.8	185.6	174.5	253.5
